timestamp,open,high,low,close,volume
2020-04-24,185.98,189.67,185.5,187.45,800.06315
2020-04-25,187.34,198.09,186.03,194.23,1540.24789
2020-04-26,194.12,199.67,192.3,197.09,909.58284
2020-04-27,197.66,198.99,189.85,196.16,1191.24271
2020-04-28,196.32,197.52,192.92,196.44,329.50845
2020-04-29,196.38,220.45,196.38,215.27,3171.2335
2020-04-30,215.13,227.21,202.28,205.46,3411.3324
2020-05-01,207.05,217.24,206.76,212.36,2089.70932
2020-05-02,211.39,215.31,210.42,213.54,975.01221
2020-05-03,214.42,219.04,205.15,209.82,1083.14718
2020-05-04,209.73,210.29,195.2,206.65,2528.80188
2020-05-05,206.64,210.88,201.33,204.8,609.3047
2020-05-06,205.58,210.76,198.61,198.88,3721.34678
2020-05-07,197.84,215.0,197.12,212.68,3039.68944
2020-05-08,213.01,216.25,207.12,211.6,1747.73865
2020-05-09,210.96,214.5,208.68,211.55,827.87601
2020-05-10,210.0,210.0,174.43,188.27,4717.0433
2020-05-11,188.38,193.5,175.76,186.42,1150.25111
2020-05-12,185.94,192.06,185.94,189.9,1059.28619
2020-05-13,190.0,201.19,188.72,199.12,1214.63292
2020-05-14,200.1,205.97,196.06,203.1,2679.64221
2020-05-15,203.48,204.15,191.2,194.23,1128.60577
2020-05-16,193.41,203.27,193.41,200.51,719.27945
2020-05-17,200.38,209.99,199.94,207.74,2852.56746
2020-05-18,208.35,217.01,208.03,214.49,1650.34598
2020-05-19,214.17,215.82,209.49,214.51,690.97826
2020-05-20,214.46,215.6,205.96,210.0,1739.6047
2020-05-21,210.0,211.5,191.84,198.52,1030.64306
2020-05-22,198.0,209.0,196.6,207.48,585.34662
2020-05-23,207.66,211.25,204.59,206.48,2884.78266
2020-05-24,206.68,210.63,199.58,199.59,3403.36951
2020-05-25,199.65,205.64,198.23,204.28,977.83222
2020-05-26,204.05,204.75,197.0,200.68,558.05296
2020-05-27,201.17,208.29,201.17,207.79,1871.2304
